Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Голик,Назар,Вікторович,Чоловіча,1949-09-22,Скульптор,місто Тростянець,"площа Шефська, буд. 4, Білгород-Дністровський, 05975",704-21-70,ieremenkoiukhym@example.org
Рябченко,Остап,Вʼячеславович,Чоловіча,1995-03-18,Науковець,місто Красноперекопськ,"вулиця Зелена гірка, буд. 2, Виноградів, 84629",625-73-51,andrusenkosvitlana@example.org
Адаменко,Іван,Адамович,Чоловіча,2000-04-05,Астроном,село Чоп,"провулок Прирейкова, буд. 3, Ватутіне, 75847",+380 (74) 308-32-88,utkachenko@example.net
Полтавець,Кирило,Остапович,Чоловіча,1990-09-17,Золотар,місто Калуш,"набережна 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 97, Антрацит , 03014",+380 (26) 829-45-17,danchenkotaras@example.org
Зінченко,Онисим,Стефанович,Чоловіча,1941-07-12,Євнух,селище Ківерці,"набережна Лінія 42-га, буд. 688, Мукачево, 13870",+380 (60) 559-54-29,mbebeshko@example.com
Андріїшин,Юстим,Данилович,Чоловіча,1982-04-14,Художник,селище Чоп,"шосе Машинобудівний, буд. 71 кв. 466, Глобине, 12656",031 564 78 17,yonishchuk@example.net
Сірченко,Семен,Симонович,Чоловіча,2002-03-27,Філолог,село Рожище,"шосе Карантинна, буд. 0, Тячів, 87755",+380 48 658-89-52,alevtynatamaniuk@example.net
Тригуб,Мирон,Валентинович,Чоловіча,1947-01-21,Фізик,хутір Теплодар,"шосе Лучиста, буд. 199, Калуш, 36890",+380 (73) 329-78-50,babakpriska@example.org
Онуфрієнко,Ростислав,Олексович,Чоловіча,1964-06-13,Слідчий,місто Дубровиця,"сквер Лінія 27-ма, буд. 669, Красноград, 06380",+380 39 371-79-15,stanislavcharnysh@example.com
Перепелиця,Назар,Леонтійович,Чоловіча,1953-08-21,Бухгалтер,хутір Миронівка,"провулок Юннатів, буд. 49, Волноваха, 83659",099 118 31 30,hennadii09@example.net
Журавель,Гаврило,Федорович,Чоловіча,2000-06-15,Хореограф,селище Рогатин,"парк Романтичний, буд. 2 кв. 1, Дрогобич, 42163",+380 38 705 40 19,iustynavatamaniuk@example.net
Заїка,Ростислав,Климентович,Чоловіча,1986-11-02,Електрик,місто Південне ,"набережна Віцеадмірала Азарова, буд. 2, Макіївка, 92684",201 46 38,ppavlyk@example.net
Гаврюшенко,Дмитро,Леонідович,Чоловіча,1966-06-24,Модель,хутір Селидове,"набережна Бородінська, буд. 31 кв. 4, Біляївка, 30088",+380 (46) 611-59-25,lytvynmarusia@example.net
Христич,Левко,Омелянович,Чоловіча,1960-05-01,Будник,хутір Кілія,"набережна Пісочна, буд. 50 кв. 71, Гайсин, 68776",551-61-33,veniiamynzakharchenko@example.org
Сомко,Дан,Прохорович,Чоловіча,1951-05-20,Соціолог,село Дергачі,"площа Монастирський, буд. 54 кв. 54, Судак , 96060",293 45 59,ptsushko@example.net
Харченко,Кирило,Арсенович,Чоловіча,1974-12-06,Продюсер,місто Прип'ять ,"узвіз Краснова, буд. 7 кв. 638, Тальне, 53319",733-50-22,emiliia00@example.org
Смик,Петро,Глібович,Чоловіча,2002-05-09,Пілот,місто Теплодар,"провулок Зоринська, буд. 4 кв. 346, Бар, 10080",911-86-29,shevchenkoalbert@example.com
Копитко,Богдан,Вікторович,Чоловіча,1999-08-29,Швачка,село Гадяч,"провулок Регенсбург, буд. 276 кв. 65, Дебальцеве, 31088",057 706-11-14,zynoviihavryshkevych@example.com
Остапчук,Демʼян,Вадимович,Чоловіча,1973-01-19,Кінорежисер,селище Моспине,"сквер Чорноморський, буд. 04 кв. 2, Переяслав, 99205",+380 68 360 59 68,hermansatsiuk@example.net
Заєць,Макар,Ігорович,Чоловіча,1979-05-31,Науковець,місто Дубно,"провулок Шилова, буд. 933, Роздільна, 69841",023 240 51 34,velychkoaaron@example.com
Христич,Вадим,Романович,Чоловіча,1964-12-01,Електромонтер,місто Заводське,"узвіз Садова 3-тя, буд. 3, Трускавець, 34666",029 978 75 01,azhazhakyrylo@example.com
Литвин,Адам,Демидович,Чоловіча,1953-01-28,Біолог,хутір Миколаїв,"набережна Гетьманський, буд. 5 кв. 46, Судова Вишня, 82176",+380 44 256-51-33,voblabohuslav@example.net
Вдовиченко,Алевтин,Пилипович,Чоловіча,1985-08-03,Паблік рилейшнз,місто Красноград,"провулок Кленова, буд. 970 кв. 478, Кролевець, 69629",+380 42 886-34-95,iaremaartymovych@example.net
Кабаненко,Зорян,Стефанович,Чоловіча,1978-08-03,Фізик,хутір Зіньків,"парк Наливна, буд. 484 кв. 7, Андрушівка, 84039",+380 61 275-27-46,khoma52@example.org
Бгиденко,Остап,Русланович,Чоловіча,1966-02-06,Реставратор,місто Ворожба,"вулиця Кибальчича, буд. 831 кв. 3, Угнів, 34638",248 74 17,ruslan76@example.net
Шиян,Гліб,Гаврилович,Чоловіча,1939-11-13,Антрополог,місто Енергодар,"набережна Курортний, буд. 98 кв. 203, Амвросіївка, 73499",+380 13 527 55 35,chornovilviktor@example.net
Гайденко,Леонтій,Леопольдович,Чоловіча,1994-11-08,Геофізик,село Фастів,"площа Сєрова, буд. 09 кв. 300, Святогірськ, 14290",+380 82 024-24-06,oksana39@example.org
Макаренко,Августин,Охрімович,Чоловіча,1951-01-24,Кур'єр,місто Хирів,"провулок Тетяни Тесс, буд. 50, Біла Церква, 69148",427-48-48,gerusviacheslav@example.net
Іщенко,Франц,Данилович,Чоловіча,1979-01-22,Історик,село Городенка,"набережна Каховський, буд. 37 кв. 4, Старокостянтинів, 85805",+380 39 524-27-59,avreliimazur@example.com
Малишко,Аркадій,Ігорович,Чоловіча,2005-03-29,Журналіст,селище Роздільна,"шосе Красний, буд. 756, Бориспіль, 36481",753-67-56,nataliiaartym@example.org
Ґалаґан,Пантелеймон,Амвросійович,Чоловіча,1992-03-29,Бізнесмен,хутір Берестечко,"сквер Комітетська, буд. 392 кв. 1, Українськ, 65122",177 30 74,dbaran@example.com
Цибуленко,Гліб,Олексович,Чоловіча,1997-12-29,Локсмайстер,хутір Лебедин,"вулиця Волна тупик, буд. 3, Гуляйполе, 19771",+380 82 357-78-14,svitlana02@example.com
Козаченко,Юхим,Костянтинович,Чоловіча,1987-01-30,Мінералог,місто Моршин,"сквер Москвіна, буд. 6 кв. 097, Куп'янськ, 13883",+380 (41) 846-31-37,iosypskorobohatko@example.net
Супруненко,Микита,Яремович,Чоловіча,1944-05-31,Клавішник,село Бровари,"шосе Лінійна, буд. 997, Каховка, 93458",070 398-37-60,zorian79@example.org
Ґжицький,Юхим,Ігорович,Чоловіча,1950-09-14,Мовознавець,селище Новоукраїнка,"вулиця Газова, буд. 24 кв. 57, Нова Каховка, 38852",+380 81 560 28 45,panteleimon30@example.net
Базилевич,Демид,Теодорович,Чоловіча,1964-10-25,Візажист,місто Білогірськ,"проспект Балтська дорога, буд. 33 кв. 682, Олександрія, 38601",009 969-09-09,rozaliiazaiets@example.org
Харченко,Климент,Гаврилович,Чоловіча,1946-09-27,Громадський діяч,селище Шпола,"площа Верф’яний, буд. 74 кв. 493, Кропивницький, 08001",+380 58 327 90 65,qturkalo@example.com
Фастенко,Олександр,Пантелеймонович,Чоловіча,1973-12-20,Правник,хутір Пирятин,"парк Мала, буд. 401, Заводське, 39187",095 859-06-33,lizaeibozhenko@example.net
Яремко,Михайло,Петрович,Чоловіча,1970-09-11,Прокурор,місто Соледар,"узвіз Мічуріна, буд. 6 кв. 0, Інкерман, 87230",+380 63 861-61-77,mykolai08@example.net
Вертипорох,Устим,Опанасович,Чоловіча,1950-08-04,Складальник,селище Вовчанськ,"узвіз Безіменний, буд. 192, Чоп, 32993",+380 (97) 116-23-75,feofan62@example.com
